model,seed,f1,roc_auc,pr_auc,balanced_accuracy
random_forest,43,0.8,0.9087301587301588,0.8287348272642391,0.8333333333333333
random_forest,44,0.7368421052631579,0.8921957671957672,0.8198702713408598,0.7916666666666667
random_forest,45,0.7368421052631579,0.9067460317460316,0.8109988452575699,0.7916666666666667
random_forest,46,0.7272727272727272,0.8974867724867724,0.7929277106908686,0.8174603174603174
random_forest,47,0.7368421052631579,0.8855820105820105,0.7995130715151303,0.7916666666666667
random_forest,48,0.7000000000000001,0.906084656084656,0.8254114866614867,0.7837301587301587
random_forest,49,0.7368421052631579,0.9041005291005292,0.8073622427101202,0.7916666666666667
random_forest,50,0.7000000000000001,0.9193121693121692,0.8250291375291376,0.7837301587301587
random_forest,51,0.631578947368421,0.8670634920634921,0.7437162604505404,0.7420634920634921
random_forest,52,0.6956521739130435,0.9107142857142856,0.8027089609428678,0.8095238095238095
random_forest,53,0.7368421052631579,0.902116402116402,0.827991452991453,0.7916666666666667
random_forest,54,0.6666666666666666,0.912037037037037,0.8119358854652974,0.75
random_forest,55,0.7000000000000001,0.9054232804232804,0.8107683982683983,0.7837301587301587
random_forest,56,0.6666666666666666,0.8994708994708994,0.8482142857142857,0.75
random_forest,57,0.7272727272727272,0.8935185185185185,0.8207107824578502,0.8174603174603174
random_forest,58,0.7000000000000001,0.8915343915343916,0.8168928523030691,0.7837301587301587
random_forest,59,0.761904761904762,0.9007936507936508,0.8174127022917347,0.8253968253968254
random_forest,60,0.6666666666666666,0.8888888888888888,0.7781861279200676,0.7757936507936508
random_forest,61,0.6666666666666666,0.8928571428571428,0.786796291804781,0.7757936507936508
